element	count
VariationArchive	4478872
ClinicalAssertion	6813140
ObservedIn	6869122
Sample	6869122
Origin	6869122
Species	11347994
AffectedStatus	6869122
NumberTested	123764
Age	73583
Gender	0
Sex	135617
Ethnicity	48536
GeographicOrigin	26335
Tissue	547099
FamilyData	47233
Method	6877237
MethodType	6877237
TypePlatform	182688
MethodAttribute	52989
ObservedData	6494488
Attribute	26347884
MolecularConsequence	24908913
FunctionalConsequence	564026
Co-occurrence	0
Sample/Origin	6869122
Sample/Species	6869122
Sample/AffectedStatus	6869122
Sample/NumberTested	123764
Sample/Age	73583
Sample/Gender	0
Sample/Sex	135617
Sample/Ethnicity	48536
Sample/GeographicOrigin	26335
Sample/Tissue	547099
Sample/FamilyData	47233
Method/MethodType	6877237
Method/TypePlatform	182688
Method/MethodAttribute	52989
ObservedData/Attribute	6494488
MolecularConsequence/XRef	433
FunctionalConsequence/XRef	0
